feature_order,feature,bien_gi,y_nghia_bien,source_group,feature_flow_stage,dtype,is_numeric,missing_pct,n_unique,original_table,original_description
235,INST_PAYMENT_RATIO_MIN,Biến tỷ lệ,"Tỷ lệ/ratio về thanh toán tỷ lệ nhỏ nhất trong lịch sử thanh toán installments, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.163717720666903,116715,,
236,INST_LATE_PAYMENT_RATE,Biến tỷ lệ,Tỷ lệ trả trễ thanh toán trên tổng số quan sát liên quan trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.160140612856125,4972,,
237,INST_UNDERPAYMENT_RATE,Biến tỷ lệ,Tỷ lệ trả thiếu trên tổng số quan sát liên quan trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.160140612856125,4892,,
238,INST_TOTAL_PAYMENT_RATIO,Biến tỷ lệ,"Tỷ lệ/ratio về tổng thanh toán tỷ lệ trong lịch sử thanh toán installments, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.16111618771361,142355,,
239,HAS_INSTALLMENT_HISTORY,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn installment; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
240,CC_MONTH_COUNT,Biến đếm,Đếm tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,129,,
241,CC_PREV_COUNT,Biến đếm,Đếm khoản trước từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,5,,
242,CC_MONTHS_BALANCE_RECENT,Biến thời gian gần nhất,Thời điểm/giá trị gần nhất của tháng số dư gần nhất trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,5,,
243,CC_MONTHS_BALANCE_OLDEST,Biến thời gian cũ nhất,Thời điểm/giá trị xa nhất trong quá khứ của tháng số dư cũ nhất trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,96,,
244,CC_ACTIVE_MONTH_COUNT,Biến đếm,Đếm đang hoạt động tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,103,,
245,CC_COMPLETED_MONTH_COUNT,Biến đếm,Đếm hoàn tất tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,40,,
246,CC_ZERO_LIMIT_MONTH_COUNT,Biến đếm,Đếm bằng 0 hạn mức tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,78,,
247,CC_UTILIZATION_GT_1_MONTH_COUNT,Biến đếm,Đếm mức sử dụng hạn mức gt 1 tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,86,,
248,CC_NEGATIVE_BALANCE_MONTH_COUNT,Biến đếm,Đếm âm số dư tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,9,,
249,CC_AMT_BALANCE_MEAN,Biến trung bình,Giá trị trung bình của số tiền số dư trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,59467,,
250,CC_AMT_BALANCE_MAX,Biến cực đại,Giá trị lớn nhất của số tiền số dư trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,56722,,
251,CC_AMT_BALANCE_SUM,Biến tổng,Tổng số tiền số dư từ lịch sử thẻ tín dụng sau khi gom theo khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,58810,,
252,CC_CREDIT_LIMIT_MEAN,Biến trung bình,Giá trị trung bình của tín dụng/khoản vay hạn mức trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,11313,,
253,CC_CREDIT_LIMIT_MAX,Biến cực đại,Giá trị lớn nhất của tín dụng/khoản vay hạn mức trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,54,,
254,CC_UTILIZATION_MEAN,Biến trung bình,Giá trị trung bình của mức sử dụng hạn mức trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,72.02181385381336,59104,,
255,CC_UTILIZATION_MAX,Biến cực đại,Giá trị lớn nhất của mức sử dụng hạn mức trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,72.02181385381336,56087,,
256,CC_DRAWINGS_CURRENT_SUM,Biến tổng,Tổng rút/chi tiêu thẻ hiện tại từ lịch sử thẻ tín dụng sau khi gom theo khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,40377,,
257,CC_DRAWINGS_CURRENT_MEAN,Biến trung bình,Giá trị trung bình của rút/chi tiêu thẻ hiện tại trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,49079,,
258,CC_PAYMENT_CURRENT_SUM,Biến tổng,Tổng thanh toán hiện tại từ lịch sử thẻ tín dụng sau khi gom theo khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,54228,,
259,CC_PAYMENT_CURRENT_MEAN,Biến trung bình,Giá trị trung bình của thanh toán hiện tại trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,80.14379973399326,56763,,
260,CC_TOTAL_RECEIVABLE_MEAN,Biến trung bình,Giá trị trung bình của tổng phải thu trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,59521,,
261,CC_TOTAL_RECEIVABLE_MAX,Biến cực đại,Giá trị lớn nhất của tổng phải thu trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,56422,,
262,CC_DPD_MONTH_COUNT,Biến đếm,Đếm days past due/quá hạn tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,91,,
263,CC_DPD_DEF_MONTH_COUNT,Biến đếm,Đếm days past due/quá hạn quá hạn nghiêm trọng/default tháng từ lịch sử thẻ tín dụng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,0.0,64,,
264,CC_SK_DPD_MAX,Biến cực đại,Giá trị lớn nhất của sk days past due/quá hạn trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,409,,
265,CC_SK_DPD_MEAN,Biến trung bình,Giá trị trung bình của sk days past due/quá hạn trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,3606,,
266,CC_SK_DPD_DEF_MAX,Biến cực đại,Giá trị lớn nhất của sk days past due/quá hạn quá hạn nghiêm trọng/default trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,52,,
267,CC_SK_DPD_DEF_MEAN,Biến trung bình,Giá trị trung bình của sk days past due/quá hạn quá hạn nghiêm trọng/default trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,1548,,
268,CC_ZERO_LIMIT_MONTH_RATE,Biến tỷ lệ,Tỷ lệ bằng 0 hạn mức tháng trên tổng số quan sát liên quan trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,1288,,
269,CC_UTILIZATION_GT_1_MONTH_RATE,Biến tỷ lệ,Tỷ lệ mức sử dụng hạn mức gt 1 tháng trên tổng số quan sát liên quan trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,1792,,
270,CC_DPD_MONTH_RATE,Biến tỷ lệ,Tỷ lệ days past due/quá hạn tháng trên tổng số quan sát liên quan trong lịch sử thẻ tín dụng.,Step5 historical aggregate - credit_card_balance,05 Step5 historical aggregation,float64,True,71.73922233676193,1422,,
271,HAS_CREDIT_CARD_HISTORY,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn tín dụng/khoản vay card; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
